Price,Area,Bedrooms,WC,Length,Width,Floors,has_facade,no_facade,Area_Total,Average_price
4.35,64.0,2.4123958792714473,1.4709210020687493,4.0,16.0,1.0,1,0,64.0,6.094126923076923
5.2,46.0,3.0,3.0,12.0,3.8,3.0,1,0,138.0,6.094126923076923
9.6,84.0,4.0,3.0,20.0,4.2,3.0,1,0,252.0,6.094126923076923
5.2,55.0,4.0,3.3333238146411728,14.0,4.0,3.0,1,0,165.0,6.094126923076923
16.2,143.5,7.0,6.438961856995226,8.0,23.0,4.0,1,0,486.0,6.094126923076923
3.1,60.0,2.0,2.0,4.0,14.5,2.0,1,0,120.0,6.094126923076923
7.6,96.0,2.0,1.0,24.0,4.0,3.0,1,0,288.0,6.094126923076923
3.2,44.0,2.0,2.0,11.0,4.0,2.0,1,0,88.0,6.094126923076923
16.2,143.5,7.0,6.0,30.0,8.0,3.0,1,0,486.0,6.094126923076923
3.6,50.0,3.0,2.0,5.0,9.0,1.0,1,0,50.0,6.094126923076923
14.9,100.0,7.0,4.820994876349396,20.0,5.0,5.0,1,0,486.0,6.094126923076923
7.9,70.0,3.8365517593418486,3.6011612125415158,17.5,4.0,3.0,1,0,210.0,6.094126923076923
16.2,143.5,7.0,7.071192915250995,14.0,24.0,1.0,1,0,486.0,6.094126923076923
9.68,86.0,7.0,6.0,4.0,21.0,6.0,1,0,486.0,6.094126923076923
7.8,80.0,3.5456093242368025,3.2666211329327095,19.5,4.1,1.0,1,0,80.0,6.094126923076923
7.5,80.0,3.685223644004737,3.423004291033082,20.0,4.0,2.0,1,0,160.0,6.094126923076923
0.03,143.5,7.0,7.071192915250995,7.0,21.0,4.0,1,0,486.0,6.094126923076923
14.5,126.0,7.0,6.742863776278646,25.2,5.0,3.0,1,0,378.0,6.094126923076923
16.2,143.5,7.0,4.4522309147187356,10.0,21.0,5.0,1,0,486.0,6.094126923076923
16.0,100.0,7.0,3.0,20.0,5.0,4.0,1,0,400.0,6.094126923076923
2.75,43.0,2.0,2.0,14.0,3.1,2.0,1,0,86.0,6.094126923076923
2.6,33.0,3.0,2.0,10.0,3.3,4.0,1,0,132.0,6.094126923076923
2.7,60.0,2.0,2.0,12.0,4.5,2.0,1,0,120.0,6.094126923076923
16.2,60.0,7.0,6.0,15.0,4.0,3.0,1,0,180.0,6.094126923076923
13.5,96.0,4.0,5.0,24.0,4.0,3.0,0,1,288.0,6.094126923076923
16.2,143.5,7.0,7.071192915250995,33.1,4.2,2.0,1,0,354.0,6.094126923076923
9.9,125.0,3.0682214006535684,2.1037800174399433,25.0,5.0,1.0,1,0,125.0,6.094126923076923
10.5,80.0,3.0,3.0,16.0,5.0,4.0,1,0,320.0,6.094126923076923
9.4,80.0,4.594924586814308,4.551899676941175,20.0,4.0,1.0,1,0,80.0,6.094126923076923
6.38,68.0,6.0,6.0,17.0,4.0,5.0,1,0,340.0,6.094126923076923
9.8,100.0,6.0,5.0,4.0,19.0,1.0,1,0,100.0,6.094126923076923
4.9,65.0,2.0,2.0,16.0,4.0,2.0,1,0,130.0,6.094126923076923
4.85,63.0,4.0,3.0,16.0,4.0,3.0,1,0,189.0,6.094126923076923
3.8,56.0,3.0,3.0,14.0,4.0,3.0,1,0,168.0,6.094126923076923
8.2,80.0,2.0,2.0,5.0,16.0,2.0,1,0,160.0,6.094126923076923
8.2,80.0,2.0,2.0,5.0,16.0,2.0,1,0,160.0,6.094126923076923
5.38,75.0,4.0,4.0,15.0,5.0,4.0,1,0,300.0,6.094126923076923
7.3,72.0,3.321479764684704,2.9087663533289168,4.0,18.0,2.0,1,0,144.0,6.094126923076923
6.7,80.0,3.3806253234581862,3.205257689863944,20.0,4.0,2.0,1,0,160.0,6.094126923076923
5.1,56.0,4.0,3.0,15.0,3.75,3.0,1,0,168.0,6.094126923076923
5.5,52.0,4.0,3.0,12.0,4.333333333333333,3.0,1,0,156.0,6.094126923076923
9.8,100.0,6.0,5.0,16.0,5.0,3.0,1,0,300.0,6.094126923076923
11.5,80.0,4.0,3.0,16.0,5.0,3.0,1,0,240.0,6.094126923076923
7.8,64.0,2.0,3.0,4.0,16.0,2.0,1,0,128.0,6.094126923076923
16.2,143.5,7.0,7.071192915250995,12.0,24.0,1.0,1,0,350.0,6.094126923076923
